% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
37982	1	1	2	2	0	18	4107	0	1	1	0
37982	1	1	2	2	1	18	4107	0	1	1	0
37983	1	1	2	2	0	18	4107	0	1	1	0
37983	1	1	2	2	1	18	4107	0	1	1	0
37984	1	2	1	2	0	18	4107	0	1	1	0
37984	1	2	1	2	1	18	4107	0	1	1	0
37985	1	1	2	2	0	18	1980	0	1	1	0
37985	1	1	2	2	1	18	1980	0	1	1	0
37985	1	2	1	2	0	18	1980	0	1	1	0
37985	1	2	1	2	1	18	1980	0	1	1	0
37987	1	1	2	2	0	18	1980	0	1	1	0
37987	1	1	2	2	1	18	1980	0	1	1	0
37987	1	2	1	2	0	20	2385	0	1	1	0
37987	1	2	1	2	1	20	2385	0	1	1	0
38003	1	1	2	2	0	20	2385	0	1	1	0
38003	1	1	2	2	1	20	2385	0	1	1	0
38003	1	2	1	2	0	24	3182	0	1	0	0
38003	1	2	1	2	1	24	3182	0	1	0	0
38009	1	1	2	2	0	20	4904	0	1	1	0
38009	1	1	2	2	1	20	4904	0	1	1	0
38009	1	2	1	2	0	24	6882	0	1	0	0
38009	1	2	1	2	1	24	6882	0	1	1	0
38010	1	1	2	2	0	22	2769	0	1	1	0
38010	1	1	2	2	1	22	2769	0	1	1	0
38010	1	2	1	2	0	20	2385	0	1	1	0
38010	1	2	1	2	1	20	2385	0	1	1	0
38011	1	1	2	2	0	22	5861	0	1	1	0
38011	1	1	2	2	1	22	5861	0	1	1	0
38012	1	1	2	2	0	22	2769	0	1	1	0
38012	1	1	2	2	1	22	2769	0	1	1	0
38012	1	2	1	2	0	18	1980	0	1	1	0
38012	1	2	1	2	1	18	1980	0	1	1	0
38013	1	1	2	2	0	22	2769	0	1	1	0
38013	1	1	2	2	1	22	2769	0	1	1	0
38013	1	2	1	2	0	18	1980	0	1	1	0
38013	1	2	1	2	1	18	1980	0	1	1	0
38014	1	1	2	2	0	22	2769	0	1	1	0
38014	1	1	2	2	1	22	2769	0	1	1	0
38014	1	2	1	2	0	18	1980	0	1	1	0
38014	1	2	1	2	1	18	1980	0	1	1	0
38020	1	1	2	2	0	22	2769	0	1	1	0
38020	1	1	2	2	1	22	2769	0	1	1	0
38020	1	2	1	2	0	20	4904	0	1	1	0
38020	1	2	1	2	1	20	4904	0	1	1	0
38021	1	2	1	2	0	20	4904	0	1	1	0
38021	1	2	1	2	1	20	4904	0	1	1	0
38022	1	1	2	2	0	24	3182	0	1	1	0
38022	1	1	2	2	1	24	3182	0	1	1	0
38022	1	2	1	2	0	22	2769	0	1	1	0
38022	1	2	1	2	1	22	2769	0	1	1	0
38027	1	1	2	2	0	24	3182	0	1	1	0
38027	1	1	2	2	1	24	3182	0	1	1	0
38027	1	2	1	2	0	24	3182	0	1	1	0
38027	1	2	1	2	1	24	3182	0	1	1	0
38028	1	1	2	2	0	24	3182	0	1	1	0
38028	1	1	2	2	1	24	3182	0	1	1	0
38028	1	2	1	2	0	24	3182	0	1	1	0
38028	1	2	1	2	1	24	3182	0	1	1	0
38029	1	1	2	2	0	24	3182	0	1	1	0
38029	1	1	2	2	1	24	3182	0	1	1	0
38029	1	2	1	2	0	24	3182	0	1	1	0
38029	1	2	1	2	1	24	3182	0	1	1	0
38030	1	1	2	2	0	22	2769	0	1	1	0
38030	1	1	2	2	1	22	2769	0	1	1	0
38030	1	2	1	2	0	24	3182	0	1	1	0
38030	1	2	1	2	1	24	3182	0	1	1	0
38031	1	1	2	2	0	22	2769	0	1	1	0
38031	1	1	2	2	1	22	2769	0	1	1	0
38031	1	2	1	2	0	24	3182	0	1	1	0
38031	1	2	1	2	1	24	3182	0	1	1	0
38032	1	2	1	2	0	24	6882	0	1	1	0
38032	1	2	1	2	1	24	6882	0	1	1	0
38034	1	1	2	2	0	22	2769	0	1	1	0
38034	1	1	2	2	1	22	2769	0	1	1	0
38034	1	2	1	2	0	26	3662	0	1	1	0
38034	1	2	1	2	1	26	3662	0	1	1	0
38041	1	1	2	2	0	20	4904	0	1	1	0
38041	1	1	2	2	1	20	4904	0	1	1	0
38041	1	2	1	2	0	26	3662	0	1	1	0
38041	1	2	1	2	1	26	3662	0	1	1	0
38042	1	1	2	2	0	20	4904	0	1	1	0
38042	1	1	2	2	1	20	4904	0	1	1	0
38043	1	1	2	2	0	20	4904	0	1	1	0
38043	1	1	2	2	1	20	4904	0	1	1	0
38052	1	1	2	2	0	16	1836	0	1	1	0
38052	1	1	2	2	1	16	1836	0	1	1	0
38052	1	2	1	2	0	24	3182	0	1	1	0
38052	1	2	1	2	1	24	3182	0	1	1	0
38057	1	1	2	2	0	16	3822	0	1	1	0
38057	1	1	2	2	1	16	3822	0	1	1	0
38057	1	2	1	2	0	24	6882	0	1	1	0
38057	1	2	1	2	1	24	6882	0	1	1	0
38058	1	2	1	2	0	24	6882	0	1	1	0
38058	1	2	1	2	1	24	6882	0	1	1	0
38059	1	2	1	2	0	24	6882	0	1	1	0
38059	1	2	1	2	1	24	6882	0	1	1	0
38060	1	1	2	2	0	16	1836	0	1	1	0
38060	1	1	2	2	1	16	1836	0	1	1	0
38060	1	2	1	2	0	22	2769	0	1	1	0
38060	1	2	1	2	1	22	2769	0	1	1	0
38067	1	1	2	2	0	16	1836	0	1	1	0
38067	1	1	2	2	1	16	1836	0	1	1	0
38067	1	2	1	2	0	20	4904	0	1	1	0
38067	1	2	1	2	1	20	4904	0	1	1	0
38068	1	1	2	2	0	18	1980	0	1	1	0
38068	1	1	2	2	1	18	1980	0	1	1	0
38068	1	2	1	2	0	18	1980	0	1	1	0
38068	1	2	1	2	1	18	1980	0	1	1	0
38072	1	1	2	2	0	18	4107	0	1	1	0
38072	1	1	2	2	1	18	4107	0	1	1	0
38090	1	1	2	2	0	22	2769	0	1	1	0
38090	1	1	2	2	1	22	2769	0	1	1	0
38090	1	2	1	2	0	20	2385	0	1	1	0
38090	1	2	1	2	1	20	2385	0	1	1	0
38091	1	1	2	2	0	22	5861	0	1	1	0
38091	1	1	2	2	1	22	5861	0	1	1	0
38092	1	1	2	2	0	22	5861	0	1	1	0
38092	1	1	2	2	1	22	5861	0	1	1	0
38101	1	1	2	2	0	22	2769	0	1	1	0
38101	1	1	2	2	1	22	2769	0	1	1	0
38101	1	2	1	2	0	20	2385	0	1	1	0
38101	1	2	1	2	1	20	2385	0	1	1	0
38112	1	1	2	2	0	22	2769	0	1	1	0
38112	1	1	2	2	1	22	2769	0	1	1	0
38112	1	2	1	2	0	18	1980	0	1	1	0
38112	1	2	1	2	1	18	1980	0	1	1	0
38113	1	1	2	2	0	22	5861	0	1	1	0
38113	1	1	2	2	1	22	5861	0	1	1	0
38114	1	1	2	2	0	22	5861	0	1	1	0
38114	1	1	2	2	1	22	5861	0	1	1	0
38115	1	1	2	2	0	22	5861	0	1	1	0
38115	1	1	2	2	1	22	5861	0	1	1	0
38123	1	1	2	2	0	20	2385	0	1	1	0
38123	1	1	2	2	1	20	2385	0	1	1	0
38123	1	2	1	2	0	20	2385	0	1	1	0
38123	1	2	1	2	1	20	2385	0	1	1	0
38125	1	1	2	2	0	20	2385	0	1	1	0
38125	1	1	2	2	1	20	2385	0	1	1	0
38125	1	2	1	2	0	20	2385	0	1	1	0
38125	1	2	1	2	1	20	2385	0	1	1	0
38126	1	2	1	2	0	20	4904	0	1	1	0
38126	1	2	1	2	1	20	4904	0	1	1	0
38127	1	2	1	2	0	20	4904	0	1	1	0
38127	1	2	1	2	1	20	4904	0	1	1	0
38128	1	1	2	2	0	18	1980	0	1	1	0
38128	1	1	2	2	1	18	1980	0	1	1	0
38128	1	2	1	2	0	20	2385	0	1	1	0
38128	1	2	1	2	1	20	2385	0	1	1	0
38129	1	2	1	2	0	20	4904	0	1	1	0
38129	1	2	1	2	1	20	4904	0	1	1	0
38131	1	1	2	2	0	18	4107	0	1	1	0
38131	1	1	2	2	1	18	4107	0	1	1	0
38132	1	2	1	2	0	20	4904	0	1	1	0
38132	1	2	1	2	1	20	4904	0	1	1	0
38133	1	2	1	2	0	20	4904	0	1	1	0
38133	1	2	1	2	1	20	4904	0	1	1	0
38135	1	2	1	2	0	20	4904	0	1	1	0
38135	1	2	1	2	1	20	4904	0	1	1	0
38136	1	2	1	2	0	20	4904	0	1	1	0
38136	1	2	1	2	1	20	4904	0	1	1	0
38138	1	2	1	2	0	22	5861	0	1	1	0
38138	1	2	1	2	1	22	5861	0	1	1	0
38139	1	2	1	2	0	22	5861	0	1	1	0
38139	1	2	1	2	1	22	5861	0	1	1	0
38141	1	2	1	2	0	22	5861	0	1	1	0
38141	1	2	1	2	1	22	5861	0	1	1	0
38142	1	2	1	2	0	22	5861	0	1	1	0
38142	1	2	1	2	1	22	5861	0	1	1	0
38145	1	2	1	2	0	22	5861	0	1	1	0
38145	1	2	1	2	1	22	5861	0	1	1	0
38146	1	2	1	2	0	24	6882	0	1	1	0
38146	1	2	1	2	1	24	6882	0	1	1	0
38147	1	2	1	2	0	24	6882	0	1	1	0
38147	1	2	1	2	1	24	6882	0	1	1	0
38148	1	2	1	2	0	24	6882	0	1	1	0
38148	1	2	1	2	1	24	6882	0	1	1	0
38149	1	2	1	2	0	24	6882	0	1	1	0
38149	1	2	1	2	1	24	6882	0	1	1	0
38150	1	2	1	2	0	24	6882	0	1	1	0
38150	1	2	1	2	1	24	6882	0	1	1	0
38152	1	2	1	2	0	24	6882	0	1	1	0
38152	1	2	1	2	1	24	6882	0	1	1	0
38153	1	2	1	2	0	24	6882	0	1	1	0
38153	1	2	1	2	1	24	6882	0	1	1	0
38154	1	2	1	2	0	24	6882	0	1	1	0
38154	1	2	1	2	1	24	6882	0	1	1	0
38156	1	2	1	2	0	24	6882	0	1	1	0
38156	1	2	1	2	1	24	6882	0	1	1	0
38157	1	2	1	2	0	24	6882	0	1	1	0
38157	1	2	1	2	1	24	6882	0	1	1	0
38158	1	2	1	2	0	24	6882	0	1	1	0
38158	1	2	1	2	1	24	6882	0	1	1	0
38159	1	2	1	2	0	24	6882	0	1	1	0
38159	1	2	1	2	1	24	6882	0	1	1	0
38160	1	2	1	2	0	24	6882	0	1	1	0
38160	1	2	1	2	1	24	6882	0	1	1	0
38161	1	1	2	2	0	16	1836	0	1	1	0
38161	1	1	2	2	1	16	1836	0	1	1	0
38161	1	2	1	2	0	24	3182	0	1	1	0
38161	1	2	1	2	1	24	3182	0	1	1	0
38165	1	1	2	2	0	16	1836	0	1	1	0
38165	1	1	2	2	1	16	1836	0	1	1	0
38165	1	2	1	2	0	22	2769	0	1	1	0
38165	1	2	1	2	1	22	2769	0	1	1	0
38166	1	1	2	2	0	16	1836	0	1	1	0
38166	1	1	2	2	1	16	1836	0	1	1	0
38166	1	2	1	2	0	22	2769	0	1	1	0
38166	1	2	1	2	1	22	2769	0	1	1	0
38167	1	1	2	2	0	16	1836	0	1	1	0
38167	1	1	2	2	1	16	1836	0	1	1	0
38167	1	2	1	2	0	22	2769	0	1	1	0
38167	1	2	1	2	1	22	2769	0	1	1	0
38168	1	1	2	2	0	16	1836	0	1	1	0
38168	1	1	2	2	1	16	1836	0	1	1	0
38168	1	2	1	2	0	22	2769	0	1	1	0
38168	1	2	1	2	1	22	2769	0	1	1	0
38169	1	1	2	2	0	16	1836	0	1	1	0
38169	1	1	2	2	1	16	1836	0	1	1	0
38169	1	2	1	2	0	22	2769	0	1	1	0
38169	1	2	1	2	1	22	2769	0	1	1	0
38170	1	1	2	2	0	16	3822	0	1	1	0
38170	1	1	2	2	1	16	3822	0	1	1	0
38171	1	1	2	2	0	16	3822	0	1	1	0
38171	1	1	2	2	1	16	3822	0	1	1	0
38172	1	1	2	2	0	16	3822	0	1	1	0
38172	1	1	2	2	1	16	3822	0	1	1	0
38174	1	1	2	2	0	16	1836	0	1	1	0
38174	1	1	2	2	1	16	1836	0	1	1	0
38174	1	2	1	2	0	18	1980	0	1	1	0
