% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
12.442	1	1	2	59.0863	0
12.481	1	2	1	106.242	0
12.482	1	1	2	13.7825	0
12.521	1	2	1	125.09	0
12.522	1	1	2	85.4823	0
12.561	1	2	1	20.087	0
12.562	1	1	2	23.0896	0
12.601	1	2	1	54.1341	0
12.602	1	1	2	75.7369	0
12.641	1	2	1	148.11	0
12.642	1	1	2	40.0151	0
12.681	1	2	1	59.4756	0
12.682	1	1	2	60.9021	0
12.721	1	2	1	38.8003	0
12.722	1	1	2	25.5057	0
12.761	1	2	1	44.7359	0
12.762	1	1	2	114.267	0
12.801	1	2	1	106.501	0
12.802	1	1	2	134.06	0
12.841	1	2	1	168.295	0
12.842	1	1	2	33.6684	0
12.881	1	2	1	53.6067	0
12.882	1	1	2	76.848	0
12.921	1	2	1	89.0704	0
12.922	1	1	2	66.7402	0
12.961	1	2	1	101.535	0
12.962	1	1	2	31.0321	0
13.001	1	2	1	97.6166	0
13.002	1	1	2	32.869	0
13.041	1	2	1	109.009	0
13.042	1	1	2	131.304	0
13.081	1	2	1	85.203	0
13.082	1	1	2	100.262	0
13.121	1	2	1	100.312	0
13.122	1	1	2	155.261	0
13.161	1	2	1	100.404	0
13.162	1	1	2	61.9713	0
13.201	1	2	1	190.715	0
13.202	1	1	2	103.83	0
13.241	1	2	1	86.7741	0
13.242	1	1	2	46.0991	0
13.281	1	2	1	86.6349	0
13.282	1	1	2	190.863	0
13.321	1	2	1	48.5326	0
13.322	1	1	2	40.8975	0
13.361	1	2	1	24.8011	0
13.362	1	1	2	35.5167	0
13.401	1	2	1	41.3429	0
13.402	1	1	2	180.08	0
13.441	1	2	1	36.5087	0
13.442	1	1	2	71.9042	0
13.481	1	2	1	29.6051	0
13.482	1	1	2	241.816	0
13.521	1	2	1	113.42	0
13.522	1	1	2	94.2477	0
13.561	1	2	1	60.8781	0
13.562	1	1	2	32.7694	0
13.601	1	2	1	32.5722	0
13.602	1	1	2	146.062	0
13.641	1	2	1	71.6321	0
13.642	1	1	2	38.7141	0
13.681	1	2	1	51.8029	0
13.682	1	1	2	58.2759	0
13.721	1	2	1	51.9966	0
13.722	1	1	2	69.1612	0
13.761	1	2	1	75.3567	0
13.762	1	1	2	40.6212	0
13.801	1	2	1	129.31	0
13.802	1	1	2	46.3547	0
13.841	1	2	1	156.118	0
13.842	1	1	2	74.2437	0
13.881	1	2	1	77.9703	0
13.882	1	1	2	76.6751	0
13.921	1	2	1	81.0375	0
13.922	1	1	2	51.5884	0
13.961	1	2	1	140.549	0
13.962	1	1	2	89.2306	0
14.001	1	2	1	37.8793	0
14.002	1	1	2	56.4364	0
14.041	1	2	1	34.674	0
14.042	1	1	2	18.5082	0
14.081	1	2	1	131.891	0
14.082	1	1	2	88.4537	0
14.121	1	2	1	207.062	0
14.122	1	1	2	62.5665	0
14.161	1	2	1	73.0379	0
14.162	1	1	2	42.399	0
14.201	1	2	1	162.198	0
14.202	1	1	2	41.474	0
14.241	1	2	1	89.7516	0
14.242	1	1	2	55.2042	0
14.281	1	2	1	26.6928	0
14.282	1	1	2	104.195	0
14.321	1	2	1	76.0171	0
14.322	1	1	2	86.4298	0
14.361	1	2	1	37.8408	0
14.362	1	1	2	34.0572	0
14.401	1	2	1	62.6176	0
14.402	1	1	2	84.7245	0
