% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
37287	1	2	1	0	0	349	0	1	1	0
37288	1	2	1	0	0	349	0	1	1	0
37289	1	2	1	0	0	349	0	1	1	0
37290	1	2	1	0	0	349	0	1	1	0
37291	1	2	1	0	0	349	0	1	1	0
37292	1	2	1	0	0	349	0	1	1	0
37293	1	2	1	0	0	349	0	1	1	0
37294	1	2	1	0	0	349	0	1	1	0
37295	1	2	1	0	0	349	0	1	1	0
37296	1	2	1	0	0	349	0	1	1	0
37297	1	2	1	0	0	349	0	1	1	0
37298	1	2	1	0	4	453	0	1	1	0
37299	1	2	1	0	4	453	0	1	1	0
37300	1	2	1	0	4	453	0	1	1	0
37301	1	2	1	0	4	453	0	1	1	0
37302	1	2	1	0	4	453	0	1	1	0
37303	1	2	1	0	4	453	0	1	1	0
37304	1	2	1	0	4	453	0	1	1	0
37305	1	2	1	0	4	453	0	1	1	0
37306	1	2	1	0	4	453	0	1	1	0
37307	1	2	1	0	4	453	0	1	1	0
37308	1	2	1	0	4	453	0	1	1	0
37309	1	2	1	0	4	453	0	1	1	0
37310	1	2	1	0	4	453	0	1	1	0
37311	1	2	1	0	4	453	0	1	1	0
37312	1	2	1	0	4	453	0	1	1	0
37313	1	2	1	0	4	453	0	1	1	0
37314	1	2	1	0	4	453	0	1	1	0
37315	1	2	1	0	4	453	0	1	1	0
37316	1	2	1	0	4	453	0	1	1	0
37317	1	2	1	0	4	453	0	1	1	0
37318	1	2	1	0	4	453	0	1	1	0
37319	1	2	1	0	4	453	0	1	1	0
37320	1	2	1	0	4	453	0	1	1	0
37321	1	2	1	0	4	453	0	1	1	0
37322	1	2	1	0	4	453	0	1	1	0
37323	1	2	1	0	4	453	0	1	1	0
37324	1	2	1	0	4	453	0	1	1	0
37325	1	2	1	0	4	453	0	1	1	0
37326	1	2	1	0	4	453	0	1	1	0
37328	1	1	2	0	10	1095	0	1	1	0
37338	1	1	2	0	10	1095	0	1	1	0
37367	1	2	1	0	4	903	0	1	1	0
37368	1	2	1	0	4	903	0	1	1	0
37369	1	2	1	0	4	903	0	1	1	0
37370	1	2	1	0	4	903	0	1	1	0
37371	1	2	1	0	4	903	0	1	1	0
37372	1	2	1	0	4	903	0	1	1	0
37373	1	2	1	0	4	903	0	1	1	0
37374	1	2	1	0	4	903	0	1	1	0
37375	1	2	1	0	4	903	0	1	1	0
37376	1	2	1	0	4	903	0	1	1	0
37377	1	2	1	0	4	453	0	1	1	0
37378	1	2	1	0	4	453	0	1	1	0
37379	1	2	1	0	4	453	0	1	1	0
37380	1	2	1	0	4	453	0	1	1	0
37381	1	2	1	0	4	453	0	1	1	0
37382	1	2	1	0	4	453	0	1	1	0
37383	1	2	1	0	4	453	0	1	1	0
