% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1514	1	1	2	1	28	4395	0	1	0
1514	1	2	1	0	28	4395	0	1	0
1514	1	2	1	1	28	4395	0	1	0
1515	1	1	2	0	28	9422	0	1	0
1515	1	1	2	1	28	9422	0	1	0
1516	1	1	2	0	28	9422	0	1	0
1516	1	1	2	1	28	9422	0	1	0
1517	1	1	2	0	28	9422	0	1	0
1517	1	1	2	1	28	9422	0	1	0
1518	1	2	1	0	28	4395	0	1	0
1518	1	2	1	1	28	4395	0	1	0
1518	1	1	2	0	28	4395	0	1	0
1518	1	1	2	1	28	4395	0	1	0
1519	1	1	2	0	28	9422	0	1	0
1519	1	1	2	1	28	9422	0	1	0
1520	1	1	2	0	28	9422	0	1	0
1520	1	1	2	1	28	9422	0	1	0
1521	1	1	2	0	28	9422	0	1	0
1521	1	1	2	1	28	9422	0	1	0
1522	1	1	2	0	28	9422	0	1	0
1522	1	1	2	1	28	9422	0	1	0
1523	1	1	2	0	28	9422	0	1	0
1523	1	1	2	1	28	9422	0	1	0
1524	1	1	2	0	28	9422	0	1	0
1524	1	1	2	1	28	9422	0	1	0
1525	1	1	2	0	28	9422	0	1	0
1525	1	1	2	1	28	9422	0	1	0
1527	1	1	2	0	28	9422	0	1	0
1527	1	1	2	1	28	9422	0	1	0
1528	1	2	1	0	28	9422	0	1	0
1528	1	2	1	1	28	9422	0	1	0
1530	1	1	2	0	28	9422	0	1	0
1530	1	1	2	1	28	9422	0	1	0
1531	1	1	2	0	28	9422	0	1	0
1531	1	1	2	1	28	9422	0	1	0
1548	1	2	1	0	26	3662	0	1	0
1548	1	2	1	1	26	3662	0	1	0
1548	1	1	2	0	28	4395	0	1	0
1548	1	1	2	1	28	4395	0	1	0
1549	1	1	2	0	28	4395	0	1	0
1549	1	1	2	1	28	4395	0	1	0
1549	1	2	1	0	26	3662	0	1	0
1549	1	2	1	1	26	3662	0	1	0
1550	1	2	1	0	26	7708	0	1	0
1550	1	2	1	1	26	7708	0	1	0
1551	1	2	1	0	26	7708	0	1	0
1551	1	2	1	1	26	7708	0	1	0
1552	1	2	1	0	28	9422	0	1	0
1552	1	2	1	1	28	9422	0	1	0
1553	1	2	1	0	28	9422	0	1	0
1553	1	2	1	1	28	9422	0	1	0
1554	1	2	1	0	28	9422	0	1	0
1554	1	2	1	1	28	9422	0	1	0
1555	1	2	1	0	28	9422	0	1	0
1555	1	2	1	1	28	9422	0	1	0
1556	1	2	1	0	28	9422	0	1	0
1556	1	2	1	1	28	9422	0	1	0
1557	1	2	1	0	28	9422	0	1	0
1557	1	2	1	1	28	9422	0	1	0
1558	1	2	1	0	28	9422	0	1	0
1558	1	2	1	1	28	9422	0	1	0
1559	1	2	1	0	28	9422	0	1	0
1559	1	2	1	1	28	9422	0	1	0
1560	1	2	1	0	28	9422	0	1	0
1560	1	2	1	1	28	9422	0	1	0
1561	1	2	1	0	28	9422	0	1	0
1561	1	2	1	1	28	9422	0	1	0
1563	1	1	2	0	28	9422	0	1	0
1563	1	1	2	1	28	9422	0	1	0
1565	1	2	1	0	28	4395	0	1	0
1565	1	2	1	1	28	4395	0	1	0
1565	1	1	2	0	26	3662	0	1	0
1565	1	1	2	1	26	3662	0	1	0
1566	1	1	2	0	26	7708	0	1	0
1566	1	1	2	1	26	7708	0	1	0
1567	1	1	2	0	26	7708	0	1	0
1567	1	1	2	1	26	7708	0	1	0
1568	1	2	1	0	28	4395	0	1	0
1568	1	2	1	1	28	4395	0	1	0
1568	1	1	2	0	28	4395	0	1	0
1568	1	1	2	1	28	4395	0	1	0
1569	1	1	2	0	28	9422	0	1	0
1569	1	1	2	1	28	9422	0	1	0
1570	1	1	2	0	28	9422	0	1	0
1570	1	1	2	1	28	9422	0	1	0
1571	1	1	2	0	28	9422	0	1	0
1571	1	1	2	1	28	9422	0	1	0
1572	1	1	2	0	28	9422	0	1	0
1572	1	1	2	1	28	9422	0	1	0
1573	1	1	2	0	28	9422	0	1	0
1573	1	1	2	1	28	9422	0	1	0
1574	1	1	2	0	28	9422	0	1	0
1574	1	1	2	1	28	9422	0	1	0
1575	1	1	2	0	28	9422	0	1	0
1575	1	1	2	1	28	9422	0	1	0
1576	1	2	1	0	28	4395	0	1	0
1576	1	2	1	1	28	4395	0	1	0
1576	1	1	2	0	28	4395	0	1	0
1576	1	1	2	1	28	4395	0	1	0
1577	1	1	2	0	28	9422	0	1	0
1577	1	1	2	1	28	9422	0	1	0
1578	1	2	1	0	28	4395	0	1	0
1578	1	2	1	1	28	4395	0	1	0
1578	1	1	2	0	28	4395	0	1	0
1578	1	1	2	1	28	4395	0	1	0
1579	1	1	2	0	28	9422	0	1	0
1579	1	1	2	1	28	9422	0	1	0
1580	1	1	2	0	28	9422	0	1	0
1580	1	1	2	1	28	9422	0	1	0
1581	1	1	2	0	28	9422	0	1	0
1581	1	1	2	1	28	9422	0	1	0
1586	1	1	2	0	28	9422	0	1	0
1586	1	1	2	1	28	9422	0	1	0
1587	1	2	1	0	28	4395	0	1	0
1587	1	2	1	1	28	4395	0	1	0
1587	1	1	2	0	28	4395	0	1	0
1587	1	1	2	1	28	4395	0	1	0
1588	1	1	2	0	28	9422	0	1	0
1588	1	1	2	1	28	9422	0	1	0
1589	1	1	2	0	28	9422	0	1	0
1589	1	1	2	1	28	9422	0	1	0
1590	1	1	2	0	28	9422	0	1	0
1590	1	1	2	1	28	9422	0	1	0
1591	1	1	2	0	28	9422	0	1	0
1591	1	1	2	1	28	9422	0	1	0
1592	1	1	2	0	28	9422	0	1	0
1592	1	1	2	1	28	9422	0	1	0
1593	1	1	2	0	28	9422	0	1	0
1593	1	1	2	1	28	9422	0	1	0
1597	1	2	1	0	28	4395	0	1	0
1597	1	2	1	1	28	4395	0	1	0
1597	1	1	2	0	28	4395	0	1	0
1597	1	1	2	1	28	4395	0	1	0
1598	1	1	2	0	28	4395	0	1	0
